Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP1378015G,Property Damage Crash,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DC3D1324-4F1A-4BA7-89F8-1E64B7B265A4,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,CHANGING LANES,North,40.0,No,2021.0,FORD,RANGER,39.1021845,-77.1909875,15:40:00,Thursday,2023-08-24
MCP22030079,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,0E71F2E4-9DD7-4712-BDA5-4F8280F0AC04,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,OTHER,MOVING CONSTANT SPEED,West,35.0,No,2015.0,GMC,ST,39.04609633,-77.03231683,14:25:00,Monday,2023-09-11
EJ78940034,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,5020E3E9-6574-491C-9B05-68F8F75D049E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,25.0,No,2016.0,CHEVROLET,MALIBU,39.13346347,-77.20338598,10:47:00,Saturday,2023-07-15
MCP289200F9,Injury Crash,,OTHER,CLEAR,,DARK LIGHTS ON,,NONE DETECTED,,57E1D45C-1D7D-468F-BAC2-9232D5ED9763,Yes,POSSIBLE INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM PARKED,Unknown,0.0,No,2009.0,NISSAN,ALTIMA,39.02506667,-77.04617667,21:54:00,Sunday,2023-10-01
MCP2832008K,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7BAA53B8-8AC9-482C-882A-62B0F54FB8F9,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,DISABLING,UNKNOWN,VAN,MOVING CONSTANT SPEED,North,30.0,No,2019.0,FORD,VAN,39.030225,-77.16159683,12:01:00,Monday,2023-09-11
DM8499001V,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7751BC4E-D75A-456B-9DD8-EC3923FFC1A6,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25.0,No,2015.0,HYUNDAI,ELANTRA,38.978187,-76.99784,15:10:00,Monday,2023-07-03
MCP3353001D,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,EDA6FDE8-E909-47BE-B4B8-9D582E9283A1,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,40.0,No,2020.0,NISSAN,TK,39.0931506,-77.19653287,13:10:00,Tuesday,2023-07-25
MCP3256002P,Property Damage Crash,,HEAD ON,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D42121F7-7662-451E-8E76-738C5642C18E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,PARKED,,0.0,Yes,2008.0,FORD,FOCUS,39.05243537,-76.95539311,16:15:00,Friday,2023-12-15
MCP33120047,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A17C2322-969D-4E87-9135-A10E6270BFF5,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35.0,No,2012.0,HYUN,4S,39.05854667,-76.99777833,07:15:00,Tuesday,2023-09-26
MCP3348001D,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,51CCFEB0-2053-4C6D-9CC1-601E90262E8D,Unknown,POSSIBLE INJURY,"N/A, PHYSICAL OBSTRUCTION(S)",NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,West,45.0,No,2018.0,FORD,TK,39.06935,-77.10493333,12:30:00,Saturday,2023-11-04
MCP28880027,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,9F37F7BE-7DC6-4909-A5DD-55874E1B5221,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,TWO OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,40.0,No,2005.0,GMC,YUKON,39.07317207,-77.11136222,21:05:00,Friday,2023-12-08
MCP2635008N,Injury Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,BBC80CE2-6A51-439C-81A9-AD0291CF174C,Unknown,SUSPECTED SERIOUS INJURY,,UNKNOWN,MD,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40.0,No,2012.0,TOYOTA,CAMRY,39.09057183,-77.04477517,19:53:00,Sunday,2023-11-19
DD5612004J,Property Damage Crash,,OPPOSITE DIRECTION SIDESWIPE,CLOUDY,,DAYLIGHT,NO CONTROLS,ALCOHOL CONTRIBUTED,,7CFED1D1-E8D3-4349-AF43-6D2382E476B4,Yes,NO APPARENT INJURY,,UNKNOWN,MD,FUNCTIONAL,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,5.0,No,2018.0,CHEVY,4S,39.07221861,-77.13316566,15:41:00,Sunday,2023-10-29
MCP32700028,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,DBFA9F34-A5E2-4AED-BA31-9295699E1048,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,35.0,No,2015.0,FORD,CMAX,39.0157195,-77.04232633,22:30:00,Monday,2023-11-06
DD5651003Q,Injury Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,F606FF87-9423-4495-A7EA-58A5CE67E02B,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,DISABLING,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,35.0,No,2022.0,CHEV,SD,39.10341886,-77.15607765,08:07:00,Tuesday,2023-09-05
EJ786600D9,Property Damage Crash,,HEAD ON LEFT TURN,CLOUDY,DRY,DUSK,STOP SIGN,NONE DETECTED,,32025D90-911C-42A6-A5B9-45C228AC14CA,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,NY,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25.0,No,2016.0,HONDA,ODYSSEY,39.12547085,-77.24319878,16:30:00,Thursday,2023-12-21
MCP3279002S,Injury Crash,,SAME DIR REAR END,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,A461CFE2-95EC-4D80-9B87-68DFD6926DA5,No,SUSPECTED MINOR INJURY,"N/A, WET",NOT DISTRACTED,MD,DISABLING,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,40.0,No,2020.0,GMC,TERRAIN,39.06645923,-77.03057146,19:35:00,Monday,2023-10-30
MCP2703002Y,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,UNKNOWN,,D6015B49-BF1D-4770-B080-EFEFC526B037,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25.0,No,2005.0,HONDA,ACCORD,39.00200633,-77.004768,18:30:00,Friday,2023-08-04
EJ7885001H,Property Damage Crash,,OTHER,CLEAR,,DARK LIGHTS ON,,UNKNOWN,,BEBC96CF-F8E3-4B25-9E15-CD336A7849A8,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,SIX OCLOCK,,BACKING,West,10.0,No,0.0,UNKNOWN,UNKNOWN,39.15683835,-77.21572408,11:32:00,Thursday,2021-09-23
EJ78760062,Property Damage Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,1FF1E285-13FD-4D93-A287-A6F3EBAB34B7,No,NO APPARENT INJURY,,NOT DISTRACTED,CT,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,40.0,No,2018.0,INFI,QX30,39.11556138,-77.21612327,18:45:00,Wednesday,2023-08-16
MCP33680017,Property Damage Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,368ACB74-945A-485E-B2B0-7E13DB20DAE4,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45.0,No,2011.0,CADILLAC,ESCALADE,39.11524084,-77.21569404,13:58:00,Friday,2023-07-21
MCP3372001S,Property Damage Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,6EB3B1EB-5335-4DF5-8B30-C32DB9A0FC39,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DISABLING,FOUR OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35.0,No,2022.0,TOYOTA,CAMRY,39.09327345,-77.07965479,15:59:00,Wednesday,2023-11-08
MCP2187001M,Property Damage Crash,,SAME DIR REND RIGHT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E79C2F15-B414-483E-BDDC-C2FAF3526EF1,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,NO DAMAGE,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,West,30.0,No,2022.0,JEEP,UT,39.10490167,-77.19642833,14:15:00,Tuesday,2023-09-26
MCP3030005L,Injury Crash,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,,,51839FF7-795E-46B9-8F95-BE5038F70CD5,No,NO APPARENT INJURY,,NOT DISTRACTED,VA,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35.0,No,2013.0,TOYT,PRIUS,38.993665,-77.108615,17:00:00,Friday,2023-09-22
EJ7858007Y,Injury Crash,OTHER,OTHER,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,NONE DETECTED,37A80704-5D1D-4497-8469-B0E8C3CD9D71,No,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,West,30.0,No,2007.0,HOND,4S,39.14368238,-77.20112613,12:10:00,Saturday,2023-07-22
MCP3037005G,Property Damage Crash,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,C740484E-3EBA-4554-B457-41ECFB3746FB,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,30.0,No,2008.0,LEXU,RX400,39.27741667,-77.32460667,15:26:00,Tuesday,2023-11-07
MCP3207003J,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,452E423A-598D-4367-9E49-1DBDC6EC8F27,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35.0,No,2005.0,TOYT,4S,39.070686,-76.93774567,15:52:00,Wednesday,2023-09-06
MCP291700CX,Injury Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9D526132-CA27-4566-9813-8112A90BCBC2,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,35.0,No,2016.0,TOYOTA,COROLLA,39.03919533,-77.05413233,13:15:00,Friday,2023-12-15
MCP2830004M,Property Damage Crash,,OTHER,,,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,D46AB80A-BF4F-423A-9F27-E5D29B4337B9,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,UNKNOWN,,PARKING,Unknown,0.0,No,0.0,UNKNOWN,UNKNOWN,39.154075,-77.19714833,20:58:00,Friday,2019-05-24
EJ786600CN,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A83DA54E-4E5C-4D94-80E5-DD30EB6DA308,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,35.0,No,2002.0,HOND,ACCORD,39.14877898,-77.21343947,10:34:00,Saturday,2023-09-30
MCP2991008M,Property Damage Crash,,,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E05DBE20-BA62-451A-A18A-8709AE013448,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,THREE OCLOCK,PASSENGER CAR,CHANGING LANES,West,30.0,No,2014.0,HONDA,ACCORD,39.07592,-77.00013167,07:30:00,Thursday,2023-09-21
MCP3334001N,Property Damage Crash,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,D45F5A92-C393-4C39-9903-A91D2F9D0AEA,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,NO DAMAGE,ONE OCLOCK,TRANSIT BUS,STOPPED IN TRAFFIC LANE,South,0.0,No,2013.0,GILL,UK,38.99397068,-77.03094617,17:38:00,Tuesday,2023-10-03
MCP2906002Y,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,2EB1C00B-F9B9-4054-9EDC-3911C71BF465,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,VA,DISABLING,TEN OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,45.0,No,2013.0,HONDA,ACCORD,39.10493167,-77.20125333,17:20:00,Friday,2021-04-09
MCP26670088,Injury Crash,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,BE4CA564-A23A-473A-9939-CDE0ADF5B630,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,35.0,No,2017.0,MERZ,SEDAN,39.15653183,-77.15672883,11:00:00,Thursday,2022-11-17
MCP3268003L,Injury Crash,,HEAD ON,RAINING,WET,DAWN,,NONE DETECTED,,89CD62DF-DAF0-4345-9E49-75A699B7478F,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,DISABLING,NINE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,35.0,No,2017.0,HONDA,PILOT,39.06530783,-76.97868583,07:54:00,Monday,2023-12-18
MCP3220004H,Property Damage Crash,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,A33DFEB1-B9F0-4CED-8E88-B50A6F36C4A8,Unknown,NO APPARENT INJURY,,UNKNOWN,MD,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40.0,No,2011.0,TOYT,TK,39.1095325,-77.188257,15:59:00,Wednesday,2023-12-13
MCP29750045,Property Damage Crash,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,,,888F358F-5700-4295-A993-C33DD5629AD7,Yes,NO APPARENT INJURY,"N/A, PHYSICAL OBSTRUCTION(S)",NOT DISTRACTED,MD,SUPERFICIAL,TWELVE OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,South,10.0,No,2023.0,CHEVROLET,TAHOE,39.04947988,-77.12685836,19:00:00,Thursday,2023-08-31
MCP2641003B,Property Damage Crash,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,54521B36-2D17-4BDA-8097-ABB13251949D,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,45.0,No,2011.0,TOYT,HIGHLANDER,39.20224333,-77.25329167,10:25:00,Sunday,2023-09-17
DM85220015,Property Damage Crash,,OTHER,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,,,1262B966-EA36-4467-8150-576521853963,Yes,NO APPARENT INJURY,,UNKNOWN,,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,East,30.0,No,2018.0,LAND ROVER,SUV,38.98948865,-76.98845029,20:50:00,Wednesday,2023-12-27
MCP2948006C,Injury Crash,,HEAD ON LEFT TURN,RAINING,WET,DARK -- UNKNOWN LIGHTING,TRAFFIC SIGNAL,,,7DDA3049-BDCF-4B7A-9B02-4FD4B6B895AC,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,DISABLING,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,35.0,No,2021.0,TOYOTA,HIGHLANDER,39.05699167,-77.07359167,21:50:00,Thursday,2023-08-03
MCP3360000X,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E6EC5FE6-730A-489C-BFD6-E23CAECD32E4,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,55.0,No,2020.0,KIA,FORTE,39.09813833,-77.17851667,10:04:00,Tuesday,2023-09-05
DD5653002Q,Property Damage Crash,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,B3CD2B0F-4ADA-4371-A540-EB1A0D2A1524,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,West,0.0,No,2019.0,NISSAN,VERSA NOTE,39.07454209,-77.13560798,15:30:00,Saturday,2023-09-30
MCP12100038,Property Damage Crash,,OTHER,,,DAYLIGHT,,NONE DETECTED,,D103AE70-B53F-4919-BBFA-301C63E78981,No,NO APPARENT INJURY,,NOT DISTRACTED,VA,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,PARKED,,0.0,Yes,2011.0,TOYOTA,RAV4,39.113285,-77.18729833,17:55:00,Saturday,2019-03-16
MCP2286005C,Property Damage Crash,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F4C8B886-C3A1-4E5E-9647-F747B22D16E0,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,FUNCTIONAL,SEVEN OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,East,25.0,No,2013.0,HOND,4S,39.12163383,-77.176867,16:15:00,Tuesday,2023-09-12
MCP25830039,Property Damage Crash,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,86A7D2A1-1F83-4195-A1F9-CFE98EA3E158,Yes,NO APPARENT INJURY,,UNKNOWN,MD,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,NEGOTIATING A CURVE,West,30.0,No,2017.0,LINCOLN,MKC,39.10263292,-77.33326783,19:56:00,Monday,2023-07-10
MCP289200FQ,Injury Crash,PEDESTRIAN,HEAD ON,CLEAR,,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,NONE DETECTED,81CD6BDE-884B-4347-9698-FEC20531B192,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STARTING FROM LANE,Unknown,15.0,No,2022.0,HONDA,4S,38.99686779,-77.02382004,17:24:00,Friday,2023-12-15
MCP25920034,Property Damage Crash,,SAME DIRECTION SIDESWIPE,RAINING,WET,DAYLIGHT,,NONE DETECTED,,B36020A1-63D5-4215-817A-6B73AAB3A68F,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,FUNCTIONAL,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30.0,No,2012.0,TOYT,TK,39.15242049,-77.14236651,07:17:00,Monday,2023-09-11
MCP2552006H,Injury Crash,,OTHER,CLEAR,DRY,DARK LIGHTS ON,,,,40806B05-6D01-4952-9427-C158B3BDCEC1,Yes,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35.0,No,2016.0,NISSAN,SENTRA,39.05753833,-77.12624667,21:10:00,Saturday,2023-09-30
